 ,Area,Mean,Min,Max,X,Y
1,352,255,255,255,981.903,619.665
2,356,255,255,255,1447.419,719.216
3,357,255,255,255,1627.763,935.604
4,357,255,255,255,1499.500,1144.220
5,357,255,255,255,1425.396,1148.237
6,356,255,255,255,1060.475,1180.236
7,356,255,255,255,1399.236,1270.475
8,356,255,255,255,1782.211,1376.618
