FileName,Steps,Labels,Categories,Region,Counts
7_14_2022_Exp8Slide1_vsgGFP_pavmCherry_antiGFP488_antiRFP555_antiFAS3647_DAPI_RLdeconvolved30iterations_0.15micronZsteps_4,steps4,L4,pavvsg_ring,Three,4
7_14_2022_Exp8Slide1_vsgGFP_pavmCherry_antiGFP488_antiRFP555_antiFAS3647_DAPI_RLdeconvolved30iterations_0.15micronZsteps_4,steps4,L4,pavvsg_ring,StageTwo,5
7_14_2022_Exp8Slide1_vsgGFP_pavmCherry_antiGFP488_antiRFP555_antiFAS3647_DAPI_RLdeconvolved30iterations_0.15micronZsteps_5,steps5,L1,pav_midbody,TwoB,0
7_14_2022_Exp8Slide1_vsgGFP_pavmCherry_antiGFP488_antiRFP555_antiFAS3647_DAPI_RLdeconvolved30iterations_0.15micronZsteps_5,steps5,L1,pav_midbody,Three,0
7_14_2022_Exp8Slide1_vsgGFP_pavmCherry_antiGFP488_antiRFP555_antiFAS3647_DAPI_RLdeconvolved30iterations_0.15micronZsteps_5,steps5,L1,pav_midbody,StageTwo,0
7_14_2022_Exp8Slide1_vsgGFP_pavmCherry_antiGFP488_antiRFP555_antiFAS3647_DAPI_RLdeconvolved30iterations_0.15micronZsteps_5,steps5,L2,pav_onlyrings,TwoB,6
7_14_2022_Exp8Slide1_vsgGFP_pavmCherry_antiGFP488_antiRFP555_antiFAS3647_DAPI_RLdeconvolved30iterations_0.15micronZsteps_5,steps5,L2,pav_onlyrings,Three,5
7_14_2022_Exp8Slide1_vsgGFP_pavmCherry_antiGFP488_antiRFP555_antiFAS3647_DAPI_RLdeconvolved30iterations_0.15micronZsteps_5,steps5,L2,pav_onlyrings,StageTwo,4
7_14_2022_Exp8Slide1_vsgGFP_pavmCherry_antiGFP488_antiRFP555_antiFAS3647_DAPI_RLdeconvolved30iterations_0.15micronZsteps_5,steps5,L3,vsg_onlyrings,TwoB,1
7_14_2022_Exp8Slide1_vsgGFP_pavmCherry_antiGFP488_antiRFP555_antiFAS3647_DAPI_RLdeconvolved30iterations_0.15micronZsteps_5,steps5,L3,vsg_onlyrings,Three,7
7_14_2022_Exp8Slide1_vsgGFP_pavmCherry_antiGFP488_antiRFP555_antiFAS3647_DAPI_RLdeconvolved30iterations_0.15micronZsteps_5,steps5,L3,vsg_onlyrings,StageTwo,8
7_14_2022_Exp8Slide1_vsgGFP_pavmCherry_antiGFP488_antiRFP555_antiFAS3647_DAPI_RLdeconvolved30iterations_0.15micronZsteps_5,steps5,L4,pavvsg_ring,TwoB,6
7_14_2022_Exp8Slide1_vsgGFP_pavmCherry_antiGFP488_antiRFP555_antiFAS3647_DAPI_RLdeconvolved30iterations_0.15micronZsteps_5,steps5,L4,pavvsg_ring,Three,7
7_14_2022_Exp8Slide1_vsgGFP_pavmCherry_antiGFP488_antiRFP555_antiFAS3647_DAPI_RLdeconvolved30iterations_0.15micronZsteps_5,steps5,L4,pavvsg_ring,StageTwo,8
7_14_2022_Exp8Slide1_vsgGFP_pavmCherry_antiGFP488_antiRFP555_antiFAS3647_DAPI_RLdeconvolved30iterations_0.15micronZsteps_6,steps6,L1,pav_midbody,TwoB,0
7_14_2022_Exp8Slide1_vsgGFP_pavmCherry_antiGFP488_antiRFP555_antiFAS3647_DAPI_RLdeconvolved30iterations_0.15micronZsteps_6,steps6,L1,pav_midbody,Three,3
7_14_2022_Exp8Slide1_vsgGFP_pavmCherry_antiGFP488_antiRFP555_antiFAS3647_DAPI_RLdeconvolved30iterations_0.15micronZsteps_6,steps6,L1,pav_midbody,StageTwo,3
7_14_2022_Exp8Slide1_vsgGFP_pavmCherry_antiGFP488_antiRFP555_antiFAS3647_DAPI_RLdeconvolved30iterations_0.15micronZsteps_6,steps6,L2,pav_onlyrings,TwoB,6
7_14_2022_Exp8Slide1_vsgGFP_pavmCherry_antiGFP488_antiRFP555_antiFAS3647_DAPI_RLdeconvolved30iterations_0.15micronZsteps_6,steps6,L2,pav_onlyrings,Three,3
7_14_2022_Exp8Slide1_vsgGFP_pavmCherry_antiGFP488_antiRFP555_antiFAS3647_DAPI_RLdeconvolved30iterations_0.15micronZsteps_6,steps6,L2,pav_onlyrings,StageTwo,3
7_14_2022_Exp8Slide1_vsgGFP_pavmCherry_antiGFP488_antiRFP555_antiFAS3647_DAPI_RLdeconvolved30iterations_0.15micronZsteps_6,steps6,L3,vsg_onlyrings,TwoB,2
7_14_2022_Exp8Slide1_vsgGFP_pavmCherry_antiGFP488_antiRFP555_antiFAS3647_DAPI_RLdeconvolved30iterations_0.15micronZsteps_6,steps6,L3,vsg_onlyrings,Three,6
7_14_2022_Exp8Slide1_vsgGFP_pavmCherry_antiGFP488_antiRFP555_antiFAS3647_DAPI_RLdeconvolved30iterations_0.15micronZsteps_6,steps6,L3,vsg_onlyrings,StageTwo,4
7_14_2022_Exp8Slide1_vsgGFP_pavmCherry_antiGFP488_antiRFP555_antiFAS3647_DAPI_RLdeconvolved30iterations_0.15micronZsteps_6,steps6,L4,pavvsg_ring,TwoB,5
7_14_2022_Exp8Slide1_vsgGFP_pavmCherry_antiGFP488_antiRFP555_antiFAS3647_DAPI_RLdeconvolved30iterations_0.15micronZsteps_6,steps6,L4,pavvsg_ring,Three,7
7_14_2022_Exp8Slide1_vsgGFP_pavmCherry_antiGFP488_antiRFP555_antiFAS3647_DAPI_RLdeconvolved30iterations_0.15micronZsteps_6,steps6,L4,pavvsg_ring,StageTwo,5
7_14_2022_Exp8Slide1_vsgGFP_pavmCherry_antiGFP488_antiRFP555_antiFAS3647_DAPI_RLdeconvolved30iterations_0.15micronZsteps_7,steps7,L1,pav_midbody,TwoB,0
