FileName,Replicate,Category,Region,Count
7_14_2022_Exp8Slide1_vsgGFP_pavmCherry_antiGFP488_antiRFP555_antiFAS3647_DAPI_RLdeconvolved30iterations_0.15micronZsteps_7,1,pav_midbody_only,TwoB,3
7_14_2022_Exp8Slide1_vsgGFP_pavmCherry_antiGFP488_antiRFP555_antiFAS3647_DAPI_RLdeconvolved30iterations_0.15micronZsteps_7,1,pav_midbody_only,Three,2
7_14_2022_Exp8Slide1_vsgGFP_pavmCherry_antiGFP488_antiRFP555_antiFAS3647_DAPI_RLdeconvolved30iterations_0.15micronZsteps_7,1,pav_nonring_structure,TwoB,2
7_14_2022_Exp8Slide1_vsgGFP_pavmCherry_antiGFP488_antiRFP555_antiFAS3647_DAPI_RLdeconvolved30iterations_0.15micronZsteps_7,1,pav_nonring_structure,Three,3
7_14_2022_Exp8Slide1_vsgGFP_pavmCherry_antiGFP488_antiRFP555_antiFAS3647_DAPI_RLdeconvolved30iterations_0.15micronZsteps_8,1,pav_rings_only,TwoB,6
7_14_2022_Exp8Slide1_vsgGFP_pavmCherry_antiGFP488_antiRFP555_antiFAS3647_DAPI_RLdeconvolved30iterations_0.15micronZsteps_8,1,pav_rings_only,Three,6
7_14_2022_Exp8Slide1_vsgGFP_pavmCherry_antiGFP488_antiRFP555_antiFAS3647_DAPI_RLdeconvolved30iterations_0.15micronZsteps_8,1,vsg_rings_only,TwoB,20
7_14_2022_Exp8Slide1_vsgGFP_pavmCherry_antiGFP488_antiRFP555_antiFAS3647_DAPI_RLdeconvolved30iterations_0.15micronZsteps_8,1,vsg_rings_only,Three,18
7_14_2022_Exp8Slide1_vsgGFP_pavmCherry_antiGFP488_antiRFP555_antiFAS3647_DAPI_RLdeconvolved30iterations_0.15micronZsteps_8,1,pavrings_vsgrings,TwoB,23
7_14_2022_Exp8Slide1_vsgGFP_pavmCherry_antiGFP488_antiRFP555_antiFAS3647_DAPI_RLdeconvolved30iterations_0.15micronZsteps_8,1,pavrings_vsgrings,Three,12
